"","Distribution","Mean_mean","Mean_q025","Mean_q975","SD_mean","SD_q025","SD_q975"
"1","Generation time","3.2","2.9","3.6","2.1","1.8","2.5"
"2","Serial interval","3.2","2.8","3.5","2.2","1.8","2.6"
