"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.5"
"mean","indep","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"3.2","2.9","3.5"
"mean","indep","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"3.1","2.9","3.4"
"mean","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"2.9","2.7","3.1"
"mean","indep","Realized",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"2.9","2.7","3.1"
"mean","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.6"
"mean","mech","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"3.2","2.9","3.6"
"mean","mech","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"3.2","2.9","3.6"
"mean","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.8","2.7","3.0"
"mean","mech","Realized",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"2.9","2.7","3.0"
"mean","mech","Realized",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"2.8","2.6","3.0"
"sd","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.2","2.0"
"sd","indep","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"1.6","1.2","2.0"
"sd","indep","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"1.5","1.2","2.0"
"sd","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.3","1.2","1.5"
"sd","indep","Realized",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"1.3","1.2","1.5"
"sd","indep","Realized",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"1.3","1.1","1.5"
"sd","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.1","1.8","2.5"
"sd","mech","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"2.1","1.8","2.5"
"sd","mech","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"2.1","1.8","2.5"
"sd","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.5","1.8"
"sd","mech","Realized",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"1.6","1.5","1.8"
"sd","mech","Realized",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"1.6","1.5","1.8"
"presymp","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.1","0.1","0.2"
"presymp","indep","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.1","0.1","0.2"
"presymp","indep","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.1","0.1","0.2"
"presymp","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.2"
"presymp","indep","Realized",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.2","0.1","0.2"
"presymp","indep","Realized",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.2","0.1","0.2"
"presymp","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.2","0.1","0.2"
"presymp","mech","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.2","0.1","0.2"
"presymp","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Realized",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.2","0.1","0.3"
"presymp","mech","Realized",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.2","0.1","0.3"
"beta","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.0","1.8","2.2"
"beta","indep","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"2.0","1.8","2.3"
"beta","indep","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"1.8","1.6","2.0"
"beta","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
"beta","indep","Realized",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"NaN","NA","NA"
"beta","indep","Realized",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"NaN","NA","NA"
"beta","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.9","1.7","2.2"
"beta","mech","Intrinsic",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"2.0","1.8","2.3"
"beta","mech","Intrinsic",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"1.8","1.6","2.0"
"beta","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
