"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.5"
"mean","indep","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"3.3","3.0","3.6"
"mean","indep","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"3.0","2.7","3.4"
"mean","indep","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"1.8","1.3","2.3"
"mean","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"2.8","2.5","3.1"
"mean","indep","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"1.6","1.1","2.2"
"mean","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.6"
"mean","mech","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"3.2","2.8","3.6"
"mean","mech","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"3.4","3.1","3.7"
"mean","mech","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"4.1","3.9","4.5"
"mean","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.8","2.7","3.0"
"mean","mech","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"2.7","2.5","2.8"
"mean","mech","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"3.0","2.7","3.3"
"mean","mech","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"3.1","2.7","3.6"
"sd","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.2","2.0"
"sd","indep","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"2.0","1.6","2.5"
"sd","indep","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"1.2","0.8","1.8"
"sd","indep","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"0.9","0.4","1.9"
"sd","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.3","1.2","1.5"
"sd","indep","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"1.5","1.4","1.7"
"sd","indep","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"1.1","0.7","1.5"
"sd","indep","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"0.8","0.3","1.3"
"sd","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.1","1.8","2.5"
"sd","mech","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"2.6","2.3","3.1"
"sd","mech","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"1.9","1.6","2.2"
"sd","mech","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"3.0","3.0","3.1"
"sd","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.5","1.8"
"sd","mech","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"1.8","1.6","2.0"
"sd","mech","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"1.7","1.4","1.9"
"sd","mech","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"2.3","2.0","2.6"
"presymp","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.1","0.1","0.2"
"presymp","indep","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"0.0","0.0","0.0"
"presymp","indep","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"0.8","0.7","0.8"
"presymp","indep","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"0.9","0.9","1.0"
"presymp","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.2"
"presymp","indep","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"0.0","0.0","0.0"
"presymp","indep","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"0.8","0.8","0.9"
"presymp","indep","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"0.9","0.9","1.0"
"presymp","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"0.0","0.0","0.1"
"presymp","mech","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"0.8","0.6","0.9"
"presymp","mech","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"1.0","0.9","1.0"
"presymp","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"0.0","0.0","0.1"
"presymp","mech","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"0.8","0.7","0.9"
"presymp","mech","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"1.0","0.9","1.0"
"beta","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.0","1.8","2.2"
"beta","indep","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"2.0","1.8","2.2"
"beta","indep","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"2.0","1.7","2.2"
"beta","indep","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"1.9","1.7","2.2"
"beta","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
"beta","indep","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"NaN","NA","NA"
"beta","indep","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"NaN","NA","NA"
"beta","indep","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"NaN","NA","NA"
"beta","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.9","1.7","2.2"
"beta","mech","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"1.9","1.7","2.2"
"beta","mech","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"2.0","1.8","2.2"
"beta","mech","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"2.2","1.9","2.5"
"beta","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
"beta","mech","Realized",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"NaN","NA","NA"
"beta","mech","Realized",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"NaN","NA","NA"
"beta","mech","Realized",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"NaN","NA","NA"
"ll_vec","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"-1496.0","-1536.1","-1458.2"
"ll_vec","indep","Intrinsic",9,"flu","Two",FALSE,"1p","Both",0.61,0.25,0.57,"-1355.6","-1393.6","-1319.9"
"ll_vec","indep","Intrinsic",10,"flu","Two",FALSE,"1p","Both",4.3,1.25,0.57,"-1698.8","-1755.2","-1627.4"
"ll_vec","indep","Intrinsic",11,"flu","Two",FALSE,"1p","Both",5.8,3.1,0.57,"-1919.9","-2015.4","-1780.3"
"ll_vec","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
