"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.5"
"mean","indep","Intrinsic",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"3.4","2.9","3.9"
"mean","indep","Intrinsic",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"3.1","2.8","3.5"
"mean","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"3.0","2.7","3.3"
"mean","indep","Realized",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"2.9","2.6","3.2"
"mean","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.6"
"mean","mech","Intrinsic",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"3.4","2.9","4.0"
"mean","mech","Intrinsic",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"3.1","2.7","3.6"
"mean","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.8","2.7","3.0"
"mean","mech","Realized",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"3.0","2.8","3.3"
"mean","mech","Realized",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"2.7","2.5","2.9"
"sd","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.2","2.0"
"sd","indep","Intrinsic",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"2.0","1.4","2.8"
"sd","indep","Intrinsic",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"1.3","0.9","1.8"
"sd","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.3","1.2","1.5"
"sd","indep","Realized",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"1.5","1.3","1.9"
"sd","indep","Realized",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"1.1","0.9","1.4"
