"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"3.2","2.9","3.5"
"mean","indep","Intrinsic",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"3.3","2.9","3.6"
"mean","indep","Intrinsic",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"3.0","2.7","3.4"
"mean","indep","Intrinsic",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"1.8","1.3","2.3"
"mean","indep","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"2.8","2.5","3.1"
"mean","indep","Realized",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"1.7","1.1","2.1"
"mean","mech","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"3.2","2.9","3.6"
"mean","mech","Intrinsic",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"3.2","2.8","3.7"
"mean","mech","Intrinsic",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"3.4","3.1","3.8"
"mean","mech","Intrinsic",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"4.2","3.9","4.6"
"mean","mech","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.8","2.6","3.0"
"mean","mech","Realized",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"2.7","2.5","2.8"
"mean","mech","Realized",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"3.0","2.7","3.3"
"mean","mech","Realized",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"3.1","2.7","3.6"
"sd","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"1.5","1.2","2.0"
"sd","indep","Intrinsic",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"1.9","1.6","2.4"
"sd","indep","Intrinsic",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"1.2","0.6","1.8"
"sd","indep","Intrinsic",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"0.9","0.4","2.0"
"sd","indep","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"1.3","1.1","1.5"
"sd","indep","Realized",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"1.5","1.4","1.7"
"sd","indep","Realized",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"1.1","0.6","1.5"
"sd","indep","Realized",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"0.8","0.4","1.3"
"sd","mech","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.1","1.8","2.5"
"sd","mech","Intrinsic",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"2.7","2.3","3.1"
"sd","mech","Intrinsic",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"1.9","1.6","2.2"
"sd","mech","Intrinsic",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"3.0","3.0","3.2"
"sd","mech","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"1.6","1.5","1.8"
"sd","mech","Realized",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"1.8","1.6","2.0"
"sd","mech","Realized",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"1.7","1.4","1.9"
"sd","mech","Realized",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"2.3","2.0","2.6"
"presymp","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.1","0.1","0.2"
"presymp","indep","Intrinsic",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"0.0","0.0","0.0"
