"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"3.4","2.6","4.3"
"mean","indep","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"3.5","2.6","4.5"
"mean","indep","Intrinsic",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"3.4","2.5","4.3"
"mean","indep","Intrinsic",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"2.7","1.7","3.9"
"mean","indep","Realized",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"3.0","2.5","3.6"
"mean","indep","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"2.9","2.5","3.5"
"mean","indep","Realized",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"3.0","2.3","3.8"
"mean","indep","Realized",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"2.2","1.1","3.4"
"mean","mech","Intrinsic",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"3.3","2.5","4.5"
"mean","mech","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"3.2","2.3","4.5"
"mean","mech","Intrinsic",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"3.7","3.0","4.7"
"mean","mech","Intrinsic",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"4.9","4.1","5.9"
"mean","mech","Realized",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"2.9","2.4","3.4"
"mean","mech","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"2.7","2.4","3.1"
"mean","mech","Realized",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"3.3","2.6","4.0"
"mean","mech","Realized",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"3.9","2.8","5.2"
