"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.5"
"mean","indep","Intrinsic",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"3.4","2.9","3.8"
"mean","indep","Intrinsic",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"3.1","2.8","3.5"
"mean","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"3.1","2.7","3.5"
"mean","indep","Realized",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"2.8","2.6","3.0"
"mean","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.6"
"mean","mech","Intrinsic",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"3.3","2.8","4.0"
"mean","mech","Intrinsic",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.8","3.6"
"mean","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.8","2.7","3.0"
"mean","mech","Realized",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"2.9","2.6","3.2"
"mean","mech","Realized",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"2.8","2.6","3.0"
"sd","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.2","2.0"
"sd","indep","Intrinsic",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"1.4","0.9","2.1"
"sd","indep","Intrinsic",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"1.7","1.2","2.3"
"sd","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.3","1.2","1.5"
"sd","indep","Realized",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"1.2","0.9","1.5"
"sd","indep","Realized",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"1.4","1.2","1.7"
"sd","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.1","1.8","2.5"
"sd","mech","Intrinsic",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"2.3","1.8","3.0"
"sd","mech","Intrinsic",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"2.1","1.7","2.6"
"sd","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.5","1.8"
"sd","mech","Realized",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.4","1.9"
"sd","mech","Realized",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"1.7","1.5","1.9"
"presymp","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.1","0.1","0.2"
"presymp","indep","Intrinsic",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.1","0.0","0.2"
"presymp","indep","Intrinsic",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.2"
"presymp","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.2"
"presymp","indep","Realized",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.1","0.1","0.2"
"presymp","indep","Realized",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Intrinsic",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Intrinsic",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
