"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.72","0.19","1.99"
"alpha",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"0.59","0.12","1.82"
"alpha",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"1.49","0.47","3.82"
"alpha",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"4.94","1.03","17.60"
"presymp",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.15","0.07","0.25"
"presymp",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"0.03","0.00","0.07"
"presymp",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"0.78","0.66","0.88"
"presymp",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"0.95","0.89","0.99"
"p_E",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.59","0.18","0.88"
"p_E",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"0.72","0.25","0.97"
"p_E",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"0.22","0.06","0.39"
"p_E",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"0.11","0.02","0.26"
"period_E",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.91","0.28","1.36"
"period_E",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"0.44","0.15","0.59"
"period_E",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"0.94","0.26","1.68"
"period_E",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"0.64","0.11","1.52"
"period_P",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.64","0.19","1.27"
"period_P",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"0.17","0.02","0.46"
"period_P",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"3.36","2.62","4.04"
"period_P",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"5.16","4.28","5.69"
"mu_inv",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.02","1.65","2.47"
"mu_inv",12,"flu","Two",FALSE,"1p","A",0.61,0.25,0.57,"2.65","2.24","3.12"
"mu_inv",13,"flu","Two",FALSE,"1p","A",4.3,1.25,0.57,"1.25","0.68","2.02"
"mu_inv",14,"flu","Two",FALSE,"1p","A",5.8,3.1,0.57,"0.98","0.30","2.33"
